Date,HomeTeam,AwayTeam,FTHG,FTAG,Italia,Seria A
2019-08-24,Parma,Juventus,0,1,Italia,Seria A
2019-08-24,Fiorentina,Napoli,3,4,Italia,Seria A
2019-08-25,Udinese,Milan,1,0,Italia,Seria A
2019-08-25,Cagliari,Brescia,0,1,Italia,Seria A
2019-08-25,Roma,Genoa,3,3,Italia,Seria A
2019-08-25,Sampdoria,Lazio,0,3,Italia,Seria A
2019-08-25,Spal,Atalanta,2,3,Italia,Seria A
2019-08-25,Torino,Sassuolo,2,1,Italia,Seria A
2019-08-25,Verona,Bologna,1,1,Italia,Seria A
2019-08-26,Inter,Lecce,4,0,Italia,Seria A
2019-08-30,Bologna,Spal,1,0,Italia,Seria A
2019-08-31,Milan,Brescia,1,0,Italia,Seria A
2019-08-31,Juventus,Napoli,4,3,Italia,Seria A
2019-09-01,Lazio,Roma,1,1,Italia,Seria A
2019-09-01,Atalanta,Torino,2,3,Italia,Seria A
2019-09-01,Cagliari,Inter,1,2,Italia,Seria A
2019-09-01,Genoa,Fiorentina,2,1,Italia,Seria A
2019-09-01,Lecce,Verona,0,1,Italia,Seria A
2019-09-01,Sassuolo,Sampdoria,4,1,Italia,Seria A
2019-09-01,Udinese,Parma,1,3,Italia,Seria A
2019-09-14,Fiorentina,Juventus,0,0,Italia,Seria A
2019-09-14,Napoli,Sampdoria,2,0,Italia,Seria A
2019-09-14,Inter,Udinese,1,0,Italia,Seria A
2019-09-15,Genoa,Atalanta,1,2,Italia,Seria A
2019-09-15,Brescia,Bologna,3,4,Italia,Seria A
2019-09-15,Parma,Cagliari,1,3,Italia,Seria A
2019-09-15,Spal,Lazio,2,1,Italia,Seria A
2019-09-15,Roma,Sassuolo,4,2,Italia,Seria A
2019-09-15,Verona,Milan,0,1,Italia,Seria A
2019-09-16,Torino,Lecce,1,2,Italia,Seria A
2019-09-20,Cagliari,Genoa,3,1,Italia,Seria A
2019-09-21,Udinese,Brescia,0,1,Italia,Seria A
2019-09-21,Juventus,Verona,2,1,Italia,Seria A
2019-09-21,Milan,Inter,0,2,Italia,Seria A
2019-09-22,Sassuolo,Spal,3,0,Italia,Seria A
2019-09-22,Bologna,Roma,1,2,Italia,Seria A
2019-09-22,Lecce,Napoli,1,4,Italia,Seria A
2019-09-22,Sampdoria,Torino,1,0,Italia,Seria A
2019-09-22,Atalanta,Fiorentina,2,2,Italia,Seria A
2019-09-22,Lazio,Parma,2,0,Italia,Seria A
2019-09-24,Verona,Udinese,0,0,Italia,Seria A
2019-09-24,Brescia,Juventus,1,2,Italia,Seria A
2019-09-25,Roma,Atalanta,0,2,Italia,Seria A
2019-09-25,Fiorentina,Sampdoria,2,1,Italia,Seria A
2019-09-25,Genoa,Bologna,0,0,Italia,Seria A
2019-09-25,Inter,Lazio,1,0,Italia,Seria A
2019-09-25,Napoli,Cagliari,0,1,Italia,Seria A
2019-09-25,Parma,Sassuolo,1,0,Italia,Seria A
2019-09-25,Spal,Lecce,1,3,Italia,Seria A
2019-09-26,Torino,Milan,2,1,Italia,Seria A
2019-09-28,Juventus,Spal,2,0,Italia,Seria A
2019-09-28,Sampdoria,Inter,1,3,Italia,Seria A
2019-09-28,Sassuolo,Atalanta,1,4,Italia,Seria A
2019-09-29,Napoli,Brescia,2,1,Italia,Seria A
2019-09-29,Lazio,Genoa,4,0,Italia,Seria A
2019-09-29,Lecce,Roma,0,1,Italia,Seria A
2019-09-29,Udinese,Bologna,1,0,Italia,Seria A
2019-09-29,Cagliari,Verona,1,1,Italia,Seria A
2019-09-29,Milan,Fiorentina,1,3,Italia,Seria A
2019-09-30,Parma,Torino,3,2,Italia,Seria A
2019-10-05,Spal,Parma,1,0,Italia,Seria A
2019-10-05,Verona,Sampdoria,2,0,Italia,Seria A
2019-10-05,Genoa,Milan,1,2,Italia,Seria A
2019-10-06,Fiorentina,Udinese,1,0,Italia,Seria A
2019-10-06,Atalanta,Lecce,3,1,Italia,Seria A
2019-10-06,Bologna,Lazio,2,2,Italia,Seria A
2019-10-06,Roma,Cagliari,1,1,Italia,Seria A
2019-10-06,Torino,Napoli,0,0,Italia,Seria A
2019-10-06,Inter,Juventus,1,2,Italia,Seria A
2019-10-19,Lazio,Atalanta,3,3,Italia,Seria A
2019-10-19,Napoli,Verona,2,0,Italia,Seria A
2019-10-19,Juventus,Bologna,2,1,Italia,Seria A
2019-10-20,Sassuolo,Inter,3,4,Italia,Seria A
2019-10-20,Cagliari,Spal,2,0,Italia,Seria A
2019-10-20,Sampdoria,Roma,0,0,Italia,Seria A
2019-10-20,Udinese,Torino,1,0,Italia,Seria A
2019-10-20,Parma,Genoa,5,1,Italia,Seria A
2019-10-20,Milan,Lecce,2,2,Italia,Seria A
2019-10-21,Brescia,Fiorentina,0,0,Italia,Seria A
2019-10-25,Verona,Sassuolo,0,1,Italia,Seria A
2019-10-26,Lecce,Juventus,1,1,Italia,Seria A
2019-10-26,Inter,Parma,2,2,Italia,Seria A
2019-10-26,Genoa,Brescia,3,1,Italia,Seria A
2019-10-27,Bologna,Sampdoria,2,1,Italia,Seria A
2019-10-27,Atalanta,Udinese,7,1,Italia,Seria A
2019-10-27,Spal,Napoli,1,1,Italia,Seria A
2019-10-27,Torino,Cagliari,1,1,Italia,Seria A
2019-10-27,Roma,Milan,2,1,Italia,Seria A
2019-10-27,Fiorentina,Lazio,1,2,Italia,Seria A
2019-10-29,Parma,Verona,0,1,Italia,Seria A
2019-10-29,Brescia,Inter,1,2,Italia,Seria A
2019-10-30,Napoli,Atalanta,2,2,Italia,Seria A
2019-10-30,Cagliari,Bologna,3,2,Italia,Seria A
2019-10-30,Juventus,Genoa,2,1,Italia,Seria A
2019-10-30,Lazio,Torino,4,0,Italia,Seria A
2019-10-30,Sampdoria,Lecce,1,1,Italia,Seria A
2019-10-30,Sassuolo,Fiorentina,1,2,Italia,Seria A
2019-10-30,Udinese,Roma,0,4,Italia,Seria A
2019-10-31,Milan,Spal,1,0,Italia,Seria A
2019-11-02,Roma,Napoli,2,1,Italia,Seria A
2019-11-02,Bologna,Inter,1,2,Italia,Seria A
2019-11-02,Torino,Juventus,0,1,Italia,Seria A
2019-11-03,Atalanta,Cagliari,0,2,Italia,Seria A
2019-11-03,Genoa,Udinese,1,3,Italia,Seria A
2019-11-03,Lecce,Sassuolo,2,2,Italia,Seria A
2019-11-03,Verona,Brescia,2,1,Italia,Seria A
2019-11-03,Fiorentina,Parma,1,1,Italia,Seria A
2019-11-03,Milan,Lazio,1,2,Italia,Seria A
2019-11-04,Spal,Sampdoria,0,1,Italia,Seria A
2019-11-08,Sassuolo,Bologna,3,1,Italia,Seria A
2019-11-09,Brescia,Torino,0,4,Italia,Seria A
2019-11-09,Inter,Verona,2,1,Italia,Seria A
2019-11-09,Napoli,Genoa,0,0,Italia,Seria A
2019-11-10,Cagliari,Fiorentina,5,2,Italia,Seria A
2019-11-10,Lazio,Lecce,4,2,Italia,Seria A
2019-11-10,Sampdoria,Atalanta,0,0,Italia,Seria A
2019-11-10,Udinese,Spal,0,0,Italia,Seria A
2019-11-10,Parma,Roma,2,0,Italia,Seria A
2019-11-10,Juventus,Milan,1,0,Italia,Seria A
2019-11-23,Atalanta,Juventus,1,3,Italia,Seria A
2019-11-23,Milan,Napoli,1,1,Italia,Seria A
2019-11-23,Torino,Inter,0,3,Italia,Seria A
2019-11-24,Bologna,Parma,2,2,Italia,Seria A
2019-11-24,Roma,Brescia,3,0,Italia,Seria A
2019-11-24,Sassuolo,Lazio,1,2,Italia,Seria A
2019-11-24,Verona,Fiorentina,1,0,Italia,Seria A
2019-11-24,Sampdoria,Udinese,2,1,Italia,Seria A
2019-11-25,Lecce,Cagliari,2,2,Italia,Seria A
2019-11-25,Spal,Genoa,1,1,Italia,Seria A
2019-11-30,Brescia,Atalanta,0,3,Italia,Seria A
2019-11-30,Genoa,Torino,0,1,Italia,Seria A
2019-11-30,Fiorentina,Lecce,0,1,Italia,Seria A
2019-12-01,Juventus,Sassuolo,2,2,Italia,Seria A
2019-12-01,Inter,Spal,2,1,Italia,Seria A
2019-12-01,Lazio,Udinese,3,0,Italia,Seria A
2019-12-01,Parma,Milan,0,1,Italia,Seria A
2019-12-01,Napoli,Bologna,1,2,Italia,Seria A
2019-12-01,Verona,Roma,1,3,Italia,Seria A
2019-12-02,Cagliari,Sampdoria,4,3,Italia,Seria A
2019-12-06,Inter,Roma,0,0,Italia,Seria A
2019-12-07,Atalanta,Verona,3,2,Italia,Seria A
2019-12-07,Udinese,Napoli,1,1,Italia,Seria A
2019-12-07,Lazio,Juventus,3,1,Italia,Seria A
2019-12-08,Lecce,Genoa,2,2,Italia,Seria A
2019-12-08,Sassuolo,Cagliari,2,2,Italia,Seria A
2019-12-08,Spal,Brescia,0,1,Italia,Seria A
2019-12-08,Torino,Fiorentina,2,1,Italia,Seria A
2019-12-08,Sampdoria,Parma,0,1,Italia,Seria A
2019-12-08,Bologna,Milan,2,3,Italia,Seria A
2019-12-14,Brescia,Lecce,3,0,Italia,Seria A
2019-12-14,Napoli,Parma,1,2,Italia,Seria A
2019-12-14,Genoa,Sampdoria,0,1,Italia,Seria A
2019-12-15,Verona,Torino,3,3,Italia,Seria A
2019-12-15,Bologna,Atalanta,2,1,Italia,Seria A
2019-12-15,Juventus,Udinese,3,1,Italia,Seria A
2019-12-15,Milan,Sassuolo,0,0,Italia,Seria A
2019-12-15,Roma,Spal,3,1,Italia,Seria A
2019-12-15,Fiorentina,Inter,1,1,Italia,Seria A
2019-12-16,Cagliari,Lazio,1,2,Italia,Seria A
2019-12-18,Sampdoria,Juventus,1,2,Italia,Seria A
2019-12-18,Brescia,Sassuolo,0,2,Italia,Seria A
2019-12-20,Fiorentina,Roma,1,4,Italia,Seria A
2019-12-21,Udinese,Cagliari,2,1,Italia,Seria A
2019-12-21,Inter,Genoa,4,0,Italia,Seria A
2019-12-21,Torino,Spal,1,2,Italia,Seria A
2019-12-22,Atalanta,Milan,5,0,Italia,Seria A
2019-12-22,Lecce,Bologna,2,3,Italia,Seria A
2019-12-22,Parma,Brescia,1,1,Italia,Seria A
2019-12-22,Sassuolo,Napoli,1,2,Italia,Seria A
2020-01-05,Brescia,Lazio,1,2,Italia,Seria A
2020-01-05,Spal,Verona,0,2,Italia,Seria A
2020-01-05,Genoa,Sassuolo,2,1,Italia,Seria A
2020-01-05,Roma,Torino,0,2,Italia,Seria A
2020-01-06,Bologna,Fiorentina,1,1,Italia,Seria A
2020-01-06,Atalanta,Parma,5,0,Italia,Seria A
2020-01-06,Juventus,Cagliari,4,0,Italia,Seria A
2020-01-06,Milan,Sampdoria,0,0,Italia,Seria A
2020-01-06,Lecce,Udinese,0,1,Italia,Seria A
2020-01-06,Napoli,Inter,1,3,Italia,Seria A
2020-01-11,Cagliari,Milan,0,2,Italia,Seria A
2020-01-11,Lazio,Napoli,1,0,Italia,Seria A
2020-01-11,Inter,Atalanta,1,1,Italia,Seria A
2020-01-12,Udinese,Sassuolo,3,0,Italia,Seria A
2020-01-12,Fiorentina,Spal,1,0,Italia,Seria A
2020-01-12,Sampdoria,Brescia,5,1,Italia,Seria A
2020-01-12,Torino,Bologna,1,0,Italia,Seria A
2020-01-12,Verona,Genoa,2,1,Italia,Seria A
2020-01-12,Roma,Juventus,1,2,Italia,Seria A
2020-01-13,Parma,Lecce,2,0,Italia,Seria A
2020-01-18,Lazio,Sampdoria,5,1,Italia,Seria A
2020-01-18,Sassuolo,Torino,2,1,Italia,Seria A
2020-01-18,Napoli,Fiorentina,0,2,Italia,Seria A
2020-01-19,Milan,Udinese,3,2,Italia,Seria A
2020-01-19,Bologna,Verona,1,1,Italia,Seria A
2020-01-19,Brescia,Cagliari,2,2,Italia,Seria A
2020-01-19,Lecce,Inter,1,1,Italia,Seria A
2020-01-19,Genoa,Roma,1,3,Italia,Seria A
2020-01-19,Juventus,Parma,2,1,Italia,Seria A
2020-01-20,Atalanta,Spal,1,2,Italia,Seria A
2020-01-24,Brescia,Milan,0,1,Italia,Seria A
2020-01-25,Spal,Bologna,1,3,Italia,Seria A
2020-01-25,Fiorentina,Genoa,0,0,Italia,Seria A
2020-01-25,Torino,Atalanta,0,7,Italia,Seria A
2020-01-26,Inter,Cagliari,1,1,Italia,Seria A
2020-01-26,Parma,Udinese,2,0,Italia,Seria A
2020-01-26,Sampdoria,Sassuolo,0,0,Italia,Seria A
2020-01-26,Verona,Lecce,3,0,Italia,Seria A
2020-01-26,Roma,Lazio,1,1,Italia,Seria A
2020-01-26,Napoli,Juventus,2,1,Italia,Seria A
2020-02-01,Bologna,Brescia,2,1,Italia,Seria A
2020-02-01,Cagliari,Parma,2,2,Italia,Seria A
2020-02-01,Sassuolo,Roma,4,2,Italia,Seria A
2020-02-02,Juventus,Fiorentina,3,0,Italia,Seria A
2020-02-02,Atalanta,Genoa,2,2,Italia,Seria A
2020-02-02,Lazio,Spal,5,1,Italia,Seria A
2020-02-02,Milan,Verona,1,1,Italia,Seria A
2020-02-02,Lecce,Torino,4,0,Italia,Seria A
2020-02-02,Udinese,Inter,0,2,Italia,Seria A
2020-02-03,Sampdoria,Napoli,2,4,Italia,Seria A
2020-02-05,Lazio,Verona,0,0,Italia,Seria A
2020-02-07,Roma,Bologna,2,3,Italia,Seria A
2020-02-08,Fiorentina,Atalanta,1,2,Italia,Seria A
2020-02-08,Torino,Sampdoria,1,3,Italia,Seria A
2020-02-08,Verona,Juventus,2,1,Italia,Seria A
2020-02-09,Spal,Sassuolo,1,2,Italia,Seria A
2020-02-09,Brescia,Udinese,1,1,Italia,Seria A
2020-02-09,Genoa,Cagliari,1,0,Italia,Seria A
2020-02-09,Napoli,Lecce,2,3,Italia,Seria A
2020-02-09,Parma,Lazio,0,1,Italia,Seria A
2020-02-09,Inter,Milan,4,2,Italia,Seria A
2020-02-15,Lecce,Spal,2,1,Italia,Seria A
2020-02-15,Bologna,Genoa,0,3,Italia,Seria A
2020-02-15,Atalanta,Roma,2,1,Italia,Seria A
2020-02-16,Udinese,Verona,0,0,Italia,Seria A
2020-02-16,Juventus,Brescia,2,0,Italia,Seria A
2020-02-16,Sampdoria,Fiorentina,1,5,Italia,Seria A
2020-02-16,Sassuolo,Parma,0,1,Italia,Seria A
2020-02-16,Cagliari,Napoli,0,1,Italia,Seria A
2020-02-16,Lazio,Inter,2,1,Italia,Seria A
2020-02-17,Milan,Torino,1,0,Italia,Seria A
2020-02-21,Brescia,Napoli,1,2,Italia,Seria A
2020-02-22,Bologna,Udinese,1,1,Italia,Seria A
2020-02-22,Spal,Juventus,1,2,Italia,Seria A
2020-02-22,Fiorentina,Milan,1,1,Italia,Seria A
2020-02-23,Genoa,Lazio,2,3,Italia,Seria A
2020-02-23,Roma,Lecce,4,0,Italia,Seria A
2020-02-29,Lazio,Bologna,2,0,Italia,Seria A
2020-02-29,Napoli,Torino,2,1,Italia,Seria A
2020-03-01,Lecce,Atalanta,2,7,Italia,Seria A
2020-03-01,Cagliari,Roma,3,4,Italia,Seria A
2020-03-08,Parma,Spal,0,1,Italia,Seria A
2020-03-08,Milan,Genoa,1,2,Italia,Seria A
2020-03-08,Sampdoria,Verona,2,1,Italia,Seria A
2020-03-08,Udinese,Fiorentina,0,0,Italia,Seria A
2020-03-08,Juventus,Inter,2,0,Italia,Seria A
2020-03-09,Sassuolo,Brescia,3,0,Italia,Seria A
2020-06-20,Torino,Parma,1,1,Italia,Seria A
2020-06-20,Verona,Cagliari,2,1,Italia,Seria A
2020-06-21,Atalanta,Sassuolo,4,1,Italia,Seria A
2020-06-21,Inter,Sampdoria,2,1,Italia,Seria A
2020-06-22,Fiorentina,Brescia,1,1,Italia,Seria A
2020-06-22,Lecce,Milan,1,4,Italia,Seria A
2020-06-22,Bologna,Juventus,0,2,Italia,Seria A
2020-06-23,Spal,Cagliari,0,1,Italia,Seria A
2020-06-23,Verona,Napoli,0,2,Italia,Seria A
2020-06-23,Genoa,Parma,1,4,Italia,Seria A
2020-06-23,Torino,Udinese,1,0,Italia,Seria A
2020-06-24,Inter,Sassuolo,3,3,Italia,Seria A
2020-06-24,Atalanta,Lazio,3,2,Italia,Seria A
2020-06-24,Roma,Sampdoria,2,1,Italia,Seria A
2020-06-26,Juventus,Lecce,4,0,Italia,Seria A
2020-06-27,Brescia,Genoa,2,2,Italia,Seria A
2020-06-27,Cagliari,Torino,4,2,Italia,Seria A
2020-06-27,Lazio,Fiorentina,2,1,Italia,Seria A
2020-06-28,Milan,Roma,2,0,Italia,Seria A
2020-06-28,Napoli,Spal,3,1,Italia,Seria A
2020-06-28,Sampdoria,Bologna,1,2,Italia,Seria A
2020-06-28,Sassuolo,Verona,3,3,Italia,Seria A
2020-06-28,Udinese,Atalanta,2,3,Italia,Seria A
2020-06-28,Parma,Inter,1,2,Italia,Seria A
2020-06-30,Torino,Lazio,1,2,Italia,Seria A
2020-06-30,Genoa,Juventus,1,3,Italia,Seria A
2020-07-01,Bologna,Cagliari,1,1,Italia,Seria A
2020-07-01,Inter,Brescia,6,0,Italia,Seria A
2020-07-01,Fiorentina,Sassuolo,1,3,Italia,Seria A
2020-07-01,Lecce,Sampdoria,1,2,Italia,Seria A
2020-07-01,Spal,Milan,2,2,Italia,Seria A
2020-07-01,Verona,Parma,3,2,Italia,Seria A
2020-07-02,Atalanta,Napoli,2,0,Italia,Seria A
2020-07-02,Roma,Udinese,0,2,Italia,Seria A
2020-06-27,Cagliari,Torino,4,2,Italia,Seria A
2020-06-27,Lazio,Fiorentina,2,1,Italia,Seria A
2020-06-28,Milan,Roma,2,0,Italia,Seria A
2020-06-28,Napoli,Spal,3,1,Italia,Seria A
2020-06-28,Sampdoria,Bologna,1,2,Italia,Seria A
2020-06-28,Sassuolo,Verona,3,3,Italia,Seria A
2020-06-28,Udinese,Atalanta,2,3,Italia,Seria A
2020-06-28,Parma,Inter,1,2,Italia,Seria A
2020-06-30,Torino,Lazio,1,2,Italia,Seria A
2020-06-30,Genoa,Juventus,1,3,Italia,Seria A
2020-07-01,Bologna,Cagliari,1,1,Italia,Seria A
2020-07-01,Inter,Brescia,6,0,Italia,Seria A
2020-07-01,Fiorentina,Sassuolo,1,3,Italia,Seria A
2020-07-01,Lecce,Sampdoria,1,2,Italia,Seria A
2020-07-01,Spal,Milan,2,2,Italia,Seria A
2020-07-01,Verona,Parma,3,2,Italia,Seria A
2020-07-02,Atalanta,Napoli,2,0,Italia,Seria A
2020-07-02,Roma,Udinese,0,2,Italia,Seria A
